state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2023-01-10,Parts per million,No Events,24,100.0,Y,0.012583,0.018,16,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2023-01-10,Parts per million,No Events,24,100.0,Y,0.012583,0.018,16,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2023-01-10,Parts per million,No Events,17,100.0,Y,0.013294,0.018,16,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,2023-01-11,Parts per million,No Events,24,100.0,Y,0.015583,0.023,13,,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-24
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2023-01-11,Parts per million,No Events,24,100.0,Y,0.014667,0.018,6,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2023-01-11,Parts per million,No Events,24,100.0,Y,0.014667,0.018,6,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2023-01-11,Parts per million,No Events,17,100.0,Y,0.013765,0.018,7,17.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,2023-01-12,Parts per million,No Events,22,92.0,Y,0.0145,0.031,20,,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-24
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2023-01-12,Parts per million,No Events,24,100.0,Y,0.015,0.028,18,26.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
36,061,0135,44201,1,40.81976,-73.94825,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2023-01-12,Parts per million,No Events,24,100.0,Y,0.015,0.028,18,26.0,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,CCNY,160 CONVENT AVENUE,New York,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-25
